序号,课程编码,课程名称,课程属性,所属学科/专业,课时/学分,开课周,星期节次,教室,授课方式,考试方式
442.0,111M5001H,非线性动力学与混沌,专业普及课,,40/2.0,第10-22周,周三(5-7),教1-411,课堂讲授为主,闭卷笔试
443.0,111M5002H,生物力学,专业普及课,,40/2.0,第2-11周,周一(3-4),教1-413,课堂讲授为主,课堂开卷
443.0,111M5002H,生物力学,专业普及课,,40/2.0,第2-11周,周五(3-4),教1-413,课堂讲授为主,课堂开卷
445.0,111M5006H,张量分析,专业普及课,,40/2.0,第2-15周,周三(5-7),学2-116,课堂讲授为主,闭卷笔试
447.0,111M5010H,气体动力学基础,专业普及课,,36/2.0,第2-19周,周五(3-4),教1-215,课堂讲授为主,课堂开卷
451.0,112M4003H,热物理实验原理与技术,专业核心课,,50/2.5,第2-18周,周三(5-7),教1-406,课堂讲授为主,课堂开卷
454.0,113M5001H,太阳能热发电技术,专业普及课,,50/2.5,第2-11周,周三(5-7),学2-448,课堂讲授为主,课堂开卷
455.0,114D1002Z,当代建筑学理论,一级学科核心课,,51/3.0,第2-20周,周一(9-11),N401,课堂讲授为主,课堂开卷
455.0,114D1002Z,当代建筑学理论,一级学科核心课,,51/3.0,第1周,周日(9-11),N401,课堂讲授为主,课堂开卷
456.0,114D3003Z,建筑理论（三）——建筑设计方法论,一级学科研讨课,,30/2.0,第12-21周,周五(2-4),N208,课堂讲授为主,课堂开卷
457.0,115M1002H,高级管理学,专业核心课,,40/2.0,第2-15周,周五(9-11),教1-113,课堂讲授为主,课堂开卷
461.0,115M1007H,大型复杂工程管理,专业核心课,,40/2.0,第2-11周,周三(3-4),教1-214,课堂讲授为主,课堂开卷
461.0,115M1007H,大型复杂工程管理,专业核心课,,40/2.0,第2-11周,周五(3-4),教1-213,课堂讲授为主,课堂开卷
462.0,115M2002H,工程造价管理,专业普及课,,40/2.0,第2-11周,周五(1-2),教1-113,课堂讲授为主,大开卷
463.0,121D2001Z,研究生科研素养培养,一级学科普及课,,30/1.0,第2-15周,周三(5-7),N413,课堂讲授为主,闭卷笔试
469.0,121M1004H,管理科学方法论与工具应用,一级学科核心课,,60/3.0,第2-20周,周一(3-4),教1-213,课堂讲授为主,闭卷笔试
469.0,121M1004H,管理科学方法论与工具应用,一级学科核心课,,60/3.0,第2-20周,周三(3-4),教1-213,课堂讲授为主,闭卷笔试
471.0,121M5005H,决策分析,专业普及课,管理科学与工程,40/2.0,第2-20周,周五(2-4),教2-206,课堂讲授为主,课堂开卷
